(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
07/22/2016 21:00:20,2173024402.0,1120,69560,29994.57143,0,768,1008.0,0,1608.0,204966.8571,1400,304521.4286,100,6231.357143,53.78296319,608.2142857
07/22/2016 21:00:35,2181164471.0,1120,69560,29837.71429,0,768,1008.0,0,1608.0,205075.4286,1400,304473.1429,100,6246.285714,53.75270346,613.2857143
07/22/2016 21:01:50,2189304539.0,1120,69560,50000.0,0,768,1008.0,0,1608.0,205184.0,1400,304424.8571,100,6261.214286,53.72244373,618.3571429
07/22/2016 21:01:05,2197444608.0,1120,69560,34039.36508,0,768,1008.0,0,1608.0,205292.5714,1400,304376.5714,100,6276.142857,53.692184,623.4285714
07/22/2016 21:01:20,2205584677.0,1120,69560,34238.98413,0,768,1008.0,0,1608.0,205401.1429,1400,304328.2857,100,6291.071429,53.66192427,628.5
07/22/2016 21:01:35,2213724745.0,1120,69560,34438.60317,0,768,1008.0,0,1608.0,205509.7143,1400,304280.0,100,6306.0,53.63166454,633.5714286
07/22/2016 21:02:50,2221864814.0,1120,69560,34638.22222,0,768,1008.0,0,1608.0,205618.2857,1400,304231.7143,100,6320.928571,53.60140481,638.6428571
07/22/2016 21:02:05,2230004882.0,1120,69560,34837.84127,0,768,1008.0,0,1608.0,205726.8571,1400,304183.4286,100,6335.857143,53.57114508,643.7142857
07/22/2016 21:02:20,2238144951.0,1120,69560,35037.46032,0,768,1008.0,0,1608.0,205835.4286,1400,304135.1429,100,6350.785714,53.54088535,648.7857143
07/22/2016 21:02:35,2246285019.0,1120,69560,35237.07937,0,768,1008.0,0,1608.0,205944.0,1400,304086.8571,100,6365.714286,53.51062562,653.8571429
07/22/2016 21:03:50,2254425088.0,1120,69560,35436.69841,0,768,1008.0,0,1608.0,206052.5714,1400,304038.5714,100,6380.642857,53.48036589,658.9285714
07/22/2016 21:03:05,2262565157.0,1120,69560,35636.31746,0,768,1008.0,0,1608.0,206161.1429,1400,303990.2857,100,6395.571429,53.45010616,664.0
07/22/2016 21:03:20,2270705225.0,1120,69560,35835.93651,0,768,1008.0,0,1608.0,206269.7143,1400,303942.0,100,6410.5,53.41984643,669.0714286
07/22/2016 21:03:35,2278845294.0,1120,69560,36035.55556,0,768,1008.0,0,1608.0,206378.2857,1400,303893.7143,100,6425.428571,53.3895867,674.1428571
07/22/2016 21:04:50,2286985362.0,1120,69560,36235.1746,0,768,1008.0,0,1608.0,206486.8571,1400,303845.4286,100,6440.357143,53.35932697,679.2142857
07/22/2016 21:04:05,2295125431.0,1120,69560,36434.79365,0,768,1008.0,0,1608.0,206595.4286,1400,303797.1429,100,6455.285714,53.32906724,684.2857143
07/22/2016 21:04:20,2303265499.0,1120,69560,36634.4127,0,768,1008.0,0,1608.0,206704.0,1400,303748.8571,100,6470.214286,53.29880751,689.3571429
