(PDH-CSV 4.0) (,Memory Manager\Database Cache Memory (MB),Memory Manager\Stolen Server Memory (MB),Memory Manager\Free Memory (MB),Memory Manager\Total Server Memory (MB),Memory Manager\Connection Memory (MB),Memory Manager\Lock Memory (MB),Memory Manager\Optimizer Memory (MB),Memory Manager\SQL Cache Memory (MB),Plan Cache(_Total)\Cache Memory (MB),Memory Manager\Reserved Server Memory (MB),Memory Manager\Granted Workspace Memory (MB),Buffer Manager\Page life expectancy,Buffer Manager\Lazy writes/sec,Buffer Manager\Buffer cache hit ratio,Plan Cache(_Total)\Cache Hit Ratio
11/28/2016 21:52:50.423,691.1640625,300.6015625,32.2265625,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,10,3.1007692153019941,99.998338461,86.7924528302
11/28/2016 21:53:00.418,691.5390625,300.4453125,32.0078125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,0.90046389916221714,99.9986078473,86.8032786885
11/28/2016 21:53:10.419,691.515625,300.109375,32.3671875,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,0.49996016188942211,99.9978837752,86.8140868141
11/28/2016 21:53:20.426,691.671875,300.375,31.9453125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,2.0984711315457543,99.9988594858,86.8248772504
11/28/2016 21:53:30.426,690.921875,300.828125,32.2421875,1023.9921875,1.2421875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,2.4000581016765654,99.9981821469,86.8356500409
11/28/2016 21:53:40.415,691.2421875,300.8046875,31.9453125,1023.9921875,1.2734375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,11,0.30032131954885533,99.9986660726,86.8464052288
11/28/2016 21:53:50.424,691.0546875,300.9453125,31.9921875,1023.9921875,1.2734375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,3.9964811543646093,99.9991343423,86.867862969
11/28/2016 21:54:00.422,690.0703125,301.03125,32.890625,1023.9921875,1.296875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,0.8002157271805852,99.9986363326,86.8785656072
11/28/2016 21:54:10.423,691.5546875,300.5546875,31.8828125,1023.9921875,1.296875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,1.5997797420222448,99.9986525607,86.8892508143
11/28/2016 21:54:20.423,691.1328125,300.8203125,32.0390625,1023.9921875,1.296875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,12,0.40001365300294206,99.9982597289,86.899918633
11/28/2016 21:54:30.419,690.9453125,300.3359375,32.7109375,1023.9921875,1.3671875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,2.8009060311242511,99.9988398875,86.9105691057
11/28/2016 21:54:40.418,691.4453125,300.46875,32.078125,1023.9921875,1.3671875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,11,1.0001142546760255,99.9989523347,86.9212022746
